City,Lat,Temp,Humidity,Cloudiness,Wind_speed
waddan,29.16,66.75,63.0,92.0,7.23
whitecourt,54.14,29.8,92.0,100.0,8.72
matagami,9.67,67.35,98.0,100.0,2.55
minab,27.15,89.6,62.0,0.0,2.55
xinqing,48.28,56.57,44.0,53.0,7.74
merrill,42.03,34.65,74.0,1.0,3.36
kemijarvi,,,,,
stoyba,,,,,
nalut,31.86,67.87,51.0,0.0,11.03
santiago del estero,-27.8,55.88,70.0,36.0,4.12
panaba,21.28,77.88,91.0,36.0,4.94
souillac,45.6,55.17,100.0,100.0,9.17
olinala,17.83,66.18,94.0,100.0,1.32
shepetivka,50.18,54.77,74.0,7.0,6.98
aksha,50.28,36.5,36.0,0.0,19.66
torres,-29.34,50.48,92.0,50.0,3.04
barwadih,26.9,85.22,56.0,96.0,7.94
kuche,,,,,
ukiah,39.15,48.63,81.0,1.0,3.69
qibili,,,,,
takoradi,4.89,74.17,93.0,93.0,3.91
grand gaube,-20.01,77.0,65.0,75.0,13.87
baykit,61.68,21.41,70.0,99.0,4.61
el alto,-16.5,39.2,86.0,75.0,5.82
porto velho,-8.75,75.2,94.0,20.0,1.9
eyl,7.98,82.05,59.0,100.0,11.41
havelock,34.88,69.53,93.0,90.0,5.82
cockburn town,21.46,82.77,80.0,97.0,16.84
najran,17.54,75.2,27.0,0.0,8.21
baruun-urt,46.68,39.07,32.0,6.0,17.67
salta,-24.79,59.23,82.0,75.0,4.7
